stock_type,building_type,resident_count,design_category,ooa_status,fire_sprinklers,itc_claimed,price
POST_2023,"Apartment, 1 bedroom, 1 resident",1,IL,NO_OOA,False,True,77834.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,IL,NO_OOA,False,True,77834.0
POST_2023,"Apartment, 1 bedroom, 1 resident",1,IL,WITH_OOA,False,True,90806.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,IL,WITH_OOA,False,True,90806.0
POST_2023,"Apartment, 1 bedroom, 1 resident",1,FA,NO_OOA,False,True,80262.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,FA,NO_OOA,False,True,80262.0
POST_2023,"Apartment, 1 bedroom, 1 resident",1,FA,WITH_OOA,False,True,93234.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,FA,WITH_OOA,False,True,93234.0
POST_2023,"Apartment, 1 bedroom, 1 resident",1,HPS,NO_OOA,False,True,87235.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,HPS,NO_OOA,False,True,87235.0
POST_2023,"Apartment, 1 bedroom, 1 resident",1,HPS,WITH_OOA,False,True,100207.0
PRE_2023,"Apartment, 1 bedroom, 1 resident",1,HPS,WITH_OOA,False,True,100207.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,IL,NO_OOA,False,True,81962.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,IL,NO_OOA,False,True,81962.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,IL,WITH_OOA,False,True,94935.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,IL,WITH_OOA,False,True,94935.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,FA,NO_OOA,False,True,83765.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,FA,NO_OOA,False,True,83765.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,FA,WITH_OOA,False,True,96737.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,FA,WITH_OOA,False,True,96737.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,HPS,NO_OOA,False,True,90978.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,HPS,NO_OOA,False,True,90978.0
POST_2023,"Apartment, 2 bedrooms, 1 resident",1,HPS,WITH_OOA,False,True,103951.0
PRE_2023,"Apartment, 2 bedrooms, 1 resident",1,HPS,WITH_OOA,False,True,103951.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,IL,NO_OOA,False,True,35151.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,IL,NO_OOA,False,True,35151.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,IL,WITH_OOA,False,True,41637.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,IL,WITH_OOA,False,True,41637.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,FA,NO_OOA,False,True,36007.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,FA,NO_OOA,False,True,36007.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,FA,WITH_OOA,False,True,42493.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,FA,WITH_OOA,False,True,42493.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,HPS,NO_OOA,False,True,39654.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,HPS,NO_OOA,False,True,39654.0
POST_2023,"Apartment, 2 bedrooms, 2 residents",2,HPS,WITH_OOA,False,True,46140.0
PRE_2023,"Apartment, 2 bedrooms, 2 residents",2,HPS,WITH_OOA,False,True,46140.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,IL,NO_OOA,False,True,43748.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,IL,NO_OOA,False,True,43748.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,IL,WITH_OOA,False,True,50234.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,IL,WITH_OOA,False,True,50234.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,FA,NO_OOA,False,True,45000.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,FA,NO_OOA,False,True,45000.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,FA,WITH_OOA,False,True,51486.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,FA,WITH_OOA,False,True,51486.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,HPS,NO_OOA,False,True,48979.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,HPS,NO_OOA,False,True,48979.0
POST_2023,"Apartment, 3 bedrooms, 2 residents",2,HPS,WITH_OOA,False,True,55466.0
PRE_2023,"Apartment, 3 bedrooms, 2 residents",2,HPS,WITH_OOA,False,True,55466.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,IL,NO_OOA,False,True,56304.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,IL,NO_OOA,False,True,56304.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,IL,WITH_OOA,False,True,58743.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,IL,WITH_OOA,False,True,58743.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,FA,NO_OOA,False,True,58994.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,FA,NO_OOA,False,True,58994.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,FA,WITH_OOA,False,True,61598.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,FA,WITH_OOA,False,True,61598.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,ROBUST,NO_OOA,False,True,60222.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,ROBUST,NO_OOA,False,True,60222.0
POST_2023,"Villa/Duplex/Townhouse, 1 resident",1,ROBUST,WITH_OOA,False,True,64734.0
PRE_2023,"Villa/Duplex/Townhouse, 1 resident",1,ROBUST,WITH_OOA,False,True,64734.0
